
--- Dataset: BHSig260_Bengali ---
Writer writer_020: Forged = 30, Genuine = 24
Writer writer_212: Forged = 30, Genuine = 24
Writer writer_215: Forged = 30, Genuine = 24
Writer writer_223: Forged = 30, Genuine = 24
Writer writer_224: Forged = 30, Genuine = 24
Writer writer_248: Forged = 30, Genuine = 24
Writer writer_241: Forged = 30, Genuine = 24
Writer writer_246: Forged = 30, Genuine = 24
Writer writer_225: Forged = 30, Genuine = 24
Writer writer_222: Forged = 30, Genuine = 24
Writer writer_214: Forged = 30, Genuine = 24
Writer writer_213: Forged = 30, Genuine = 24
Writer writer_247: Forged = 30, Genuine = 24
Writer writer_240: Forged = 30, Genuine = 24
Writer writer_249: Forged = 30, Genuine = 24
Writer writer_131: Forged = 30, Genuine = 24
Writer writer_136: Forged = 30, Genuine = 24
Writer writer_109: Forged = 30, Genuine = 24
Writer writer_107: Forged = 30, Genuine = 24
Writer writer_138: Forged = 30, Genuine = 24
Writer writer_198: Forged = 30, Genuine = 24
Writer writer_153: Forged = 30, Genuine = 24
Writer writer_154: Forged = 30, Genuine = 24
Writer writer_196: Forged = 30, Genuine = 24
Writer writer_162: Forged = 30, Genuine = 24
Writer writer_165: Forged = 30, Genuine = 24
Writer writer_191: Forged = 30, Genuine = 24
Writer writer_106: Forged = 30, Genuine = 24
Writer writer_139: Forged = 30, Genuine = 24
Writer writer_101: Forged = 30, Genuine = 24
Writer writer_137: Forged = 30, Genuine = 24
Writer writer_108: Forged = 30, Genuine = 24
Writer writer_130: Forged = 30, Genuine = 24
Writer writer_190: Forged = 30, Genuine = 24
Writer writer_164: Forged = 30, Genuine = 24
Writer writer_163: Forged = 30, Genuine = 24
Writer writer_197: Forged = 30, Genuine = 24
Writer writer_155: Forged = 30, Genuine = 24
Writer writer_199: Forged = 30, Genuine = 24
Writer writer_152: Forged = 30, Genuine = 24
Writer writer_184: Forged = 30, Genuine = 24
Writer writer_170: Forged = 30, Genuine = 24
Writer writer_177: Forged = 30, Genuine = 24
Writer writer_183: Forged = 30, Genuine = 24
Writer writer_148: Forged = 30, Genuine = 24
Writer writer_141: Forged = 30, Genuine = 24
Writer writer_146: Forged = 30, Genuine = 24
Writer writer_179: Forged = 30, Genuine = 24
Writer writer_112: Forged = 30, Genuine = 24
Writer writer_115: Forged = 30, Genuine = 24
Writer writer_123: Forged = 30, Genuine = 24
Writer writer_124: Forged = 30, Genuine = 24
Writer writer_147: Forged = 30, Genuine = 24
Writer writer_178: Forged = 30, Genuine = 24
Writer writer_140: Forged = 30, Genuine = 24
Writer writer_182: Forged = 30, Genuine = 24
Writer writer_176: Forged = 30, Genuine = 24
Writer writer_149: Forged = 30, Genuine = 24
Writer writer_171: Forged = 30, Genuine = 24
Writer writer_185: Forged = 30, Genuine = 24
Writer writer_125: Forged = 30, Genuine = 24
Writer writer_122: Forged = 30, Genuine = 24
Writer writer_114: Forged = 30, Genuine = 24
Writer writer_113: Forged = 30, Genuine = 24
Writer writer_253: Forged = 30, Genuine = 24
Writer writer_254: Forged = 30, Genuine = 24
Writer writer_231: Forged = 30, Genuine = 24
Writer writer_209: Forged = 30, Genuine = 24
Writer writer_236: Forged = 30, Genuine = 24
Writer writer_200: Forged = 30, Genuine = 24
Writer writer_238: Forged = 30, Genuine = 24
Writer writer_207: Forged = 30, Genuine = 24
Writer writer_255: Forged = 30, Genuine = 24
Writer writer_252: Forged = 30, Genuine = 24
Writer writer_239: Forged = 30, Genuine = 24
Writer writer_206: Forged = 30, Genuine = 24
Writer writer_201: Forged = 30, Genuine = 24
Writer writer_208: Forged = 30, Genuine = 24
Writer writer_237: Forged = 30, Genuine = 24
Writer writer_230: Forged = 30, Genuine = 24
Writer writer_245: Forged = 30, Genuine = 24
Writer writer_242: Forged = 30, Genuine = 24
Writer writer_216: Forged = 30, Genuine = 24
Writer writer_229: Forged = 30, Genuine = 24
Writer writer_211: Forged = 30, Genuine = 24
Writer writer_227: Forged = 30, Genuine = 24
Writer writer_218: Forged = 30, Genuine = 24
Writer writer_220: Forged = 30, Genuine = 24
Writer writer_243: Forged = 30, Genuine = 24
Writer writer_244: Forged = 30, Genuine = 24
Writer writer_221: Forged = 30, Genuine = 24
Writer writer_226: Forged = 30, Genuine = 24
Writer writer_219: Forged = 30, Genuine = 24
Writer writer_210: Forged = 30, Genuine = 24
Writer writer_217: Forged = 30, Genuine = 24
Writer writer_228: Forged = 30, Genuine = 24
Writer writer_168: Forged = 30, Genuine = 24
Writer writer_157: Forged = 30, Genuine = 24
Writer writer_150: Forged = 30, Genuine = 24
Writer writer_159: Forged = 30, Genuine = 24
Writer writer_166: Forged = 30, Genuine = 24
Writer writer_192: Forged = 30, Genuine = 24
Writer writer_195: Forged = 30, Genuine = 24
Writer writer_161: Forged = 30, Genuine = 24
Writer writer_135: Forged = 30, Genuine = 24
Writer writer_132: Forged = 30, Genuine = 24
Writer writer_104: Forged = 30, Genuine = 24
Writer writer_103: Forged = 30, Genuine = 24
Writer writer_160: Forged = 30, Genuine = 24
Writer writer_194: Forged = 30, Genuine = 24
Writer writer_158: Forged = 30, Genuine = 24
Writer writer_193: Forged = 30, Genuine = 24
Writer writer_167: Forged = 30, Genuine = 24
Writer writer_151: Forged = 30, Genuine = 24
Writer writer_169: Forged = 30, Genuine = 24
Writer writer_156: Forged = 30, Genuine = 24
Writer writer_102: Forged = 30, Genuine = 24
Writer writer_105: Forged = 30, Genuine = 24
Writer writer_133: Forged = 30, Genuine = 24
Writer writer_134: Forged = 30, Genuine = 24
Writer writer_129: Forged = 30, Genuine = 24
Writer writer_116: Forged = 30, Genuine = 24
Writer writer_111: Forged = 30, Genuine = 24
Writer writer_118: Forged = 30, Genuine = 24
Writer writer_127: Forged = 30, Genuine = 24
Writer writer_120: Forged = 30, Genuine = 24
Writer writer_174: Forged = 30, Genuine = 24
Writer writer_180: Forged = 30, Genuine = 24
Writer writer_187: Forged = 30, Genuine = 24
Writer writer_173: Forged = 30, Genuine = 24
Writer writer_145: Forged = 30, Genuine = 24
Writer writer_142: Forged = 30, Genuine = 24
Writer writer_189: Forged = 30, Genuine = 24
Writer writer_121: Forged = 30, Genuine = 24
Writer writer_119: Forged = 30, Genuine = 24
Writer writer_126: Forged = 30, Genuine = 24
Writer writer_110: Forged = 30, Genuine = 24
Writer writer_128: Forged = 30, Genuine = 24
Writer writer_117: Forged = 30, Genuine = 24
Writer writer_143: Forged = 30, Genuine = 24
Writer writer_188: Forged = 30, Genuine = 24
Writer writer_144: Forged = 30, Genuine = 24
Writer writer_172: Forged = 30, Genuine = 24
Writer writer_186: Forged = 30, Genuine = 24
Writer writer_181: Forged = 30, Genuine = 24
Writer writer_175: Forged = 30, Genuine = 24
Writer writer_235: Forged = 30, Genuine = 24
Writer writer_232: Forged = 30, Genuine = 24
Writer writer_204: Forged = 30, Genuine = 24
Writer writer_203: Forged = 30, Genuine = 24
Writer writer_257: Forged = 30, Genuine = 24
Writer writer_250: Forged = 30, Genuine = 24
Writer writer_259: Forged = 30, Genuine = 24
Writer writer_202: Forged = 30, Genuine = 24
Writer writer_205: Forged = 30, Genuine = 24
Writer writer_233: Forged = 30, Genuine = 24
Writer writer_234: Forged = 30, Genuine = 24
Writer writer_258: Forged = 30, Genuine = 24
Writer writer_251: Forged = 30, Genuine = 24
Writer writer_256: Forged = 30, Genuine = 24

Total in BHSig260_Hindi: Forged = 4770, Genuine = 3816

--- Dataset: CEDAR ---
Writer writer_270: Forged = 24, Genuine = 24
Writer writer_284: Forged = 24, Genuine = 24
Writer writer_283: Forged = 24, Genuine = 24
Writer writer_277: Forged = 24, Genuine = 24
Writer writer_279: Forged = 24, Genuine = 24
Writer writer_278: Forged = 24, Genuine = 24
Writer writer_276: Forged = 24, Genuine = 24
Writer writer_282: Forged = 24, Genuine = 24
Writer writer_285: Forged = 24, Genuine = 24
Writer writer_271: Forged = 24, Genuine = 24
Writer writer_303: Forged = 24, Genuine = 24
Writer writer_304: Forged = 24, Genuine = 24
Writer writer_305: Forged = 24, Genuine = 24
Writer writer_302: Forged = 24, Genuine = 24
Writer writer_311: Forged = 24, Genuine = 24
Writer writer_310: Forged = 24, Genuine = 24
Writer writer_298: Forged = 24, Genuine = 24
Writer writer_262: Forged = 24, Genuine = 24
Writer writer_296: Forged = 24, Genuine = 24
Writer writer_291: Forged = 24, Genuine = 24
Writer writer_265: Forged = 24, Genuine = 24
Writer writer_264: Forged = 24, Genuine = 24
Writer writer_290: Forged = 24, Genuine = 24
Writer writer_297: Forged = 24, Genuine = 24
Writer writer_263: Forged = 24, Genuine = 24
Writer writer_299: Forged = 24, Genuine = 24
Writer writer_280: Forged = 24, Genuine = 24
Writer writer_274: Forged = 24, Genuine = 24
Writer writer_273: Forged = 24, Genuine = 24
Writer writer_287: Forged = 24, Genuine = 24
Writer writer_289: Forged = 24, Genuine = 24
Writer writer_288: Forged = 24, Genuine = 24
Writer writer_286: Forged = 24, Genuine = 24
Writer writer_272: Forged = 24, Genuine = 24
Writer writer_275: Forged = 24, Genuine = 24
Writer writer_281: Forged = 24, Genuine = 24
Writer writer_307: Forged = 24, Genuine = 24
Writer writer_300: Forged = 24, Genuine = 24
Writer writer_309: Forged = 24, Genuine = 24
Writer writer_308: Forged = 24, Genuine = 24
Writer writer_301: Forged = 24, Genuine = 24
Writer writer_306: Forged = 24, Genuine = 24
Writer writer_312: Forged = 24, Genuine = 24
Writer writer_313: Forged = 24, Genuine = 24
Writer writer_314: Forged = 24, Genuine = 24
Writer writer_268: Forged = 24, Genuine = 24
Writer writer_292: Forged = 24, Genuine = 24
Writer writer_266: Forged = 24, Genuine = 24
Writer writer_261: Forged = 24, Genuine = 24
Writer writer_295: Forged = 24, Genuine = 24
Writer writer_294: Forged = 24, Genuine = 24
Writer writer_260: Forged = 24, Genuine = 24
Writer writer_267: Forged = 24, Genuine = 24
Writer writer_293: Forged = 24, Genuine = 24
Writer writer_269: Forged = 24, Genuine = 24

Total in CEDAR: Forged = 1320, Genuine = 1320
